설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,회전체면적,air_density,absolute_humidity,강수량(mm)
3.0,5.45,25.0,274.625,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.7880107536067218,0.6156614753256585,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,274.625,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8290375725550416,0.559192903470747,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,328.50900000000007,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8386705679454243,0.5446390350150266,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,357.91099999999994,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8746197071393956,0.4848096202463373,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,357.91099999999994,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.9063077870366498,0.4226182617406996,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,343.0,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.9781476007338056,0.20791169081775943,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,405.22400000000005,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9902680687415704,0.13917310096006547,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,357.91099999999994,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9945218953682734,0.10452846326765299,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,343.0,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.992546151641322,0.12186934340514768,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,438.97599999999994,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9563047559630354,0.2923717047227367,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,512.0,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9510565162951536,0.30901699437494723,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,26.0,571.7870000000001,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.9902680687415704,0.13917310096006547,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,26.0,636.0559999999999,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9848077530122081,0.17364817766692997,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
